X,Y,OBJECTID,NAME,ADDRESS,ID,ZIPCODE,WARD
-77.0217327712489,38.9157430661786,1,Wells Fargo,1901 7TH STREET NW,1,20001,1
-77.0306626953237,38.9172176199342,2,Bank of Georgetown,1301 U STREET NW,2,20009,1
-77.0217159981381,38.9151886062616,3,Bank of America,1845 7TH STREET NW,3,20001,1
-77.0191558204643,38.9241011733707,4,Bank of America,2397 6TH STREET NW,4,20059,1
-77.0207887688101,38.9272797495831,5,Bank of America,511 GRESHAM PLACE NW,5,20059,1
-77.032233345013,38.9284757095336,6,Bank of America,3031 14TH STREET NW,6,20009,1
-77.0319237017804,38.9308217390882,7,Bank of America,1345 PARK ROAD NW,7,20010,1
-77.0373967298505,38.9296420090068,8,Bank of America,3131 MOUNT PLEASANT STREET NW,8,20010,1
-77.0336236498241,38.9285304486705,9,Signal Financial,1400 IRVING STREET NW,9,20010,1
-77.0369856119844,38.9283719676956,10,DGE FCU,3059 MOUNT PLEASANT STREET NW,10,20009,1
-77.0324058245364,38.9174518165568,11,DGE FCU,2000 14TH STREET NW,11,20009,1
-77.0320770567374,38.929971943164,12,Lafyette FCU(Money Pass),1381 KENYON STREET NW,12,20010,1
-77.0316277826561,38.918912190127,13,CVS(Allpoint),2129 14TH STREET NW,13,20009,1
-77.0277702465742,38.917171409768,14,7-Eleven(Allpoint),1115 U STREET NW,14,20009,1
-77.0263044846243,38.9166956585462,15,CVS(Allpoint),1000 U STREET NW,15,20001,1
-77.0447800549301,38.9184737785155,16,7-Eleven(Allpoint),1900 WYOMING AVENUE NW,16,20009,1
-77.0222101771147,38.9158497251694,17,CVS(Allpoint),1900 7TH STREET NW,17,20001,1
-77.0384418739138,38.9219869413133,18,Harris Teeter(Allpoint),1631 KALORAMA ROAD NW,18,20009,1
-77.0326212674437,38.9238488398315,19,Amaco Quick Shoppe(Allpoint),2600 14TH STREET NW,19,20009,1
-77.0414458405373,38.9238773921645,20,7-Eleven (Allpoint),1755 COLUMBIA ROAD NW,20,20009,1
-77.032739949124,38.927653019506,21,7-Eleven(Allpoint),3012 14TH STREET NW,21,20009,1
-77.0329860146798,38.9293082279733,22,Target(Allpoint),3100 14TH STREET NW,22,20010,1
-77.0381403924485,38.9301021834814,23,7-Eleven(Allpoint),3146 MOUNT PLEASANT STREET NW,23,20010,1
-77.0244212782101,38.9356075884704,24,CVS(Allpoint),3642 GEORGIA AVENUE NW,24,20010,1
-77.0322274071734,38.9166143611861,25,Wells Fargo,1934 14TH STREET NW,1,20009,2
-77.0582553057077,38.9053769138639,26,Wells Fargo,2901 M STREET NW,2,20007,2
-77.0430817153736,38.9083128299863,27,Wells Fargo,1350 CONNECTICUT AVENUE NW,3,20036,2
-77.0426735556524,38.9075186236182,28,Wells Fargo,1300 CONNECTICUT AVENUE NW,4,20036,2
-77.0429503508747,38.905369490013,29,Wells Fargo,1850 M STREET NW,5,20036,2
-77.0506673925454,38.8965308182642,30,Wells Fargo,502 23RD STREET NW,6,20037,2
-77.0406402293745,38.9040801400746,31,Wells Fargo,1100 CONNECTICUT AVENUE NW,7,20036,2
-77.0420898182315,38.9022379584789,32,Wells Fargo,1800 K STREET NW,8,20006,2
-77.029955627909,38.8963841930138,33,Wells Fargo,1301 PENNSYLVANIA AVENUE NW,9,20004,2
-77.0235083997843,38.8944360774835,34,Wells Fargo,801 PENNSYLVANIA AVENUE NW,10,20004,2
-77.0351389922198,38.902181341364,35,Wells Fargo,1510 K STREET NW,11,20005,2
-77.0303499920492,38.9010008771982,36,Wells Fargo,1300 I STREET NW,12,20005,2
-77.0399579110976,38.8986569830256,37,Wells Fargo,1700 PENNSYLVANIA AVENUE NW,13,20006,2
-77.0315766493011,38.8992683344021,38,Wells Fargo,1350 NEW YORK AVENUE NW,14,20005,2
-77.0306250891863,38.8981183999702,39,Wells Fargo,1310 G STREET NW,15,20005,2
-77.0264877213381,38.8987190080635,40,United Bank,1001 G STREET NW,16,20001,2
-77.0428664204979,38.9015348439855,41,United Bank,1875 I STREET NW,17,20006,2
-77.0381817022569,38.9030058222526,42,United Bank,1667 K STREET NW,18,20006,2
-77.0324111041189,38.9021748332803,43,PNC,1400 K STREET NW,19,20005,2
-77.0397447415984,38.9004882755417,44,PNC,800 17TH STREET NW,20,20006,2
-77.0442848564968,38.9102238611318,45,PNC,1913 MASSACHUSETTS AVENUE NW,21,20036,2
-77.0625397437498,38.905384067606,46,PNC,1201 WISCONSIN AVENUE NW,22,20007,2
-77.073580849089,38.9087972057869,47,PNC,3700 O STREET NW,23,20057,2
-77.0223823012895,38.894445937653,48,Capital One,701 PENNSYLVANIA AVENUE NW,24,20004,2
-77.0284246218234,38.8971918152724,49,Capital One,1200 F STREET NW,25,20004,2
-77.0252666944609,38.9020233648494,50,Capital One,901 NEW YORK AVENUE NW,26,20001,2
-77.0332928440915,38.9020063992841,51,Capital One,925 15TH STREET NW,27,20005,2
